ID,GitHub Issue,user or dev,# of Bug Report S2Rs,# of S2Rs that Lead to Multiple GUI actions,# of gui actions
199,https://github.com/inaturalist/iNaturalistAndroid/issues/219,USER,4,0,12
200,https://github.com/inaturalist/iNaturalistAndroid/issues/237,USER,4,0,4
201,https://github.com/inaturalist/iNaturalistAndroid/issues/302,USER,4,0,4
205,https://github.com/mozilla-mobile/focus-android/issues/4102,USER,2,2,5
206,https://github.com/codinguser/gnucash-android/issues/615,USER,2,2,5
208,https://github.com/codinguser/gnucash-android/issues/633,USER,2,2,5
209,https://github.com/codinguser/gnucash-android/issues/689,USER,3,2,10
217,https://github.com/mozilla-mobile/focus-android/issues/3287,USER,3,2,10
227,https://github.com/codinguser/gnucash-android/issues/723,USER,3,2,11
228,https://github.com/codinguser/gnucash-android/issues/731,USER,3,2,11
248,https://github.com/getodk/collect/issues/2958,USER,3,2,11
250,https://github.com/moezbhatti/qksms/issues/612,USER,3,2,11
253,https://github.com/mozilla-mobile/focus-android/issues/3932,USER,3,2,11
256,https://github.com/codinguser/gnucash-android/issues/654,USER,3,2,11
266,https://github.com/mozilla-mobile/focus-android/issues/3892,USER,3,0,15
271,https://github.com/beemdevelopment/Aegis/issues/500,USER,2,1,12
272,https://github.com/mozilla-mobile/focus-android/issues/3297,USER,2,1,12
273,https://github.com/ankidroid/Anki-Android/issues/5688,USER,2,1,12
274,https://github.com/mozilla-mobile/focus-android/issues/2730,USER,9,1,7
275,https://github.com/beemdevelopment/Aegis/issues/415,USER,3,3,14
1002,https://github.com/alexstojda/soen390/issues/36,DEV,4,2,6
1006,https://github.com/wikimedia/apps-android-wikipedia/issues/282,DEV,2,1,5
1028,https://github.com/ankidroid/Anki-Android/issues/4502,DEV,2,0,9
1031,https://github.com/ankidroid/Anki-Android/issues/4707,DEV,3,0,6
1033,https://github.com/ankidroid/Anki-Android/issues/4801,DEV,3,0,4
1065,https://github.com/mozilla-mobile/focus-android/issues/3046,DEV,1,1,6
1066,https://github.com/mozilla-mobile/focus-android/issues/3152,DEV,5,2,4
1067,https://github.com/mozilla-mobile/focus-android/issues/3304,DEV,2,0,4
1070,https://github.com/mozilla-mobile/focus-android/issues/2835,DEV,4,0,4
1073,https://github.com/mozilla-mobile/focus-android/issues/2879,DEV,2,1,6
1089,https://github.com/ChessCom/android-chessclock/issues/11,DEV,6,1,6
1096,https://github.com/inaturalist/iNaturalistAndroid/issues/722,DEV,9,1,14
1100,https://github.com/kiwix/kiwix-android/issues/424,DEV,3,1,7
1101,https://github.com/kiwix/kiwix-android/issues/472,DEV,2,1,9
1102,https://github.com/kiwix/kiwix-android/issues/540,DEV,4,2,7
1106,https://github.com/kiwix/kiwix-android/issues/1165,DEV,3,1,7
1130,https://github.com/AntennaPod/AntennaPod/issues/3084,DEV,3,1,20
1133,https://github.com/AntennaPod/AntennaPod/issues/3245,DEV,2,1,8
1136,https://github.com/Automattic/simplenote-android/issues/786,DEV,5,1,15
1140,https://github.com/Automattic/simplenote-android/issues/1170,DEV,7,0,15
1144,https://github.com/Gear61/Random-Name-Picker/issues/49,DEV,2,0,3
1145,https://github.com/barbeau/gpstest/issues/436,DEV,3,0,6
1146,https://github.com/barbeau/gpstest/issues/434,DEV,2,1,7
1147,https://github.com/barbeau/gpstest/issues/119,DEV,2,1,7
1148,https://github.com/barbeau/gpstest/issues/120,DEV,2,1,3
1149,https://github.com/barbeau/gpstest/issues/330,DEV,1,1,5
1150,https://github.com/barbeau/gpstest/issues/315,DEV,3,2,10
1151,https://github.com/barbeau/gpstest/issues/127,DEV,3,0,5
1152,https://github.com/barbeau/gpstest/issues/133,DEV,1,1,4
1153,https://github.com/barbeau/gpstest/issues/152,DEV,3,1,4
1160,https://github.com/moezbhatti/qksms/issues/482,DEV,3,0,13
1197,https://github.com/Swati4star/Images-to-PDF/issues/154,DEV,7,2,18
1198,https://github.com/Swati4star/Images-to-PDF/issues/158,DEV,7,3,18
1199,https://github.com/Swati4star/Images-to-PDF/issues/218,DEV,6,2,23
1201,https://github.com/Swati4star/Images-to-PDF/issues/346,DEV,3,0,15
1202,https://github.com/Swati4star/Images-to-PDF/issues/384,DEV,3,2,16
1205,https://github.com/Swati4star/Images-to-PDF/issues/602,DEV,3,0,15
1206,https://github.com/Swati4star/Images-to-PDF/issues/510,DEV,4,1,11
1207,https://github.com/andOTP/andOTP/issues/135,DEV,6,1,10
1210,https://github.com/andOTP/andOTP/issues/356,DEV,2,0,3
1212,https://github.com/andOTP/andOTP/issues/639,DEV,5,2,17
1213,https://github.com/andOTP/andOTP/issues/638,DEV,4,1,18
1214,https://github.com/andOTP/andOTP/issues/580,DEV,4,1,8
1215,https://github.com/andOTP/andOTP/issues/569,DEV,5,2,20
1216,https://github.com/ccrama/Slide/issues/2413,DEV,2,1,19
1222,https://github.com/codinguser/gnucash-android/issues/617,DEV,1,1,17
1223,https://github.com/codinguser/gnucash-android/issues/701,DEV,8,1,24
1224,https://github.com/codinguser/gnucash-android/issues/620,DEV,3,1,11
1225,https://github.com/codinguser/gnucash-android/issues/621,DEV,2,2,20
1226,https://github.com/codinguser/gnucash-android/issues/663,DEV,2,1,13
1227,https://github.com/codinguser/gnucash-android/issues/664,DEV,2,1,11
1228,https://github.com/codinguser/gnucash-android/issues/699,DEV,6,1,23
1299,https://github.com/PhenoApps/Field-Book/issues/146,DEV,6,2,14
1300,https://github.com/PhenoApps/Field-Book/issues/145,DEV,4,3,16
1310,https://github.com/alexstyl/Memento-Calendar/issues/43,DEV,4,0,7
1313,https://github.com/beemdevelopment/Aegis/issues/96,DEV,4,1,19
1315,https://github.com/beemdevelopment/Aegis/issues/471,DEV,2,2,29
1316,https://github.com/beemdevelopment/Aegis/issues/468,DEV,3,0,15
1321,https://github.com/beemdevelopment/Aegis/issues/283,DEV,3,2,19
1343,https://github.com/marco97pa/punti-burraco/issues/55,DEV,4,0,4
1344,https://github.com/marco97pa/punti-burraco/issues/51,DEV,4,1,4
1389,https://github.com/y20k/transistor/issues/63,DEV,5,0,2
1397,https://github.com/fossasia/phimpme-android/issues/2324,DEV,4,1,11
1398,https://github.com/fossasia/phimpme-android/issues/2362,DEV,3,1,13
1399,https://github.com/fossasia/phimpme-android/issues/2416,DEV,2,1,13
1401,https://github.com/fossasia/phimpme-android/issues/2175,DEV,4,2,15
1402,https://github.com/fossasia/phimpme-android/issues/1039,DEV,1,0,12
1403,https://github.com/fossasia/phimpme-android/issues/1046,DEV,3,2,21
1404,https://github.com/fossasia/phimpme-android/issues/2523,DEV,2,2,16
1405,https://github.com/fossasia/phimpme-android/issues/2318,DEV,6,1,15
1406,https://github.com/fossasia/phimpme-android/issues/1858,DEV,5,2,30
1425,https://github.com/brodeurlv/fastnfitness/issues/174,DEV,3,1,17
1428,https://github.com/brodeurlv/fastnfitness/issues/160,DEV,4,1,12
1430,https://github.com/brodeurlv/fastnfitness/issues/142,DEV,4,4,21
1441,https://github.com/cohenadair/anglers-log/issues/151,DEV,5,3,11
1445,https://github.com/cohenadair/anglers-log/issues/347,DEV,5,3,14
1446,https://github.com/cohenadair/anglers-log/issues/43,DEV,6,2,17
1447,https://github.com/cohenadair/anglers-log/issues/9,DEV,4,1,6
1481,https://github.com/longdivision/hex/issues/4,DEV,3,0,3
1495,https://github.com/pennlabs/penn-mobile-android/issues/385,DEV,3,1,3
1498,https://github.com/pennlabs/penn-mobile-android/issues/410,DEV,3,1,4
1499,https://github.com/pennlabs/penn-mobile-android/issues/441,DEV,4,1,6
1562,https://github.com/lfuelling/lrkFM/issues/24,DEV,2,1,7
1563,https://github.com/lfuelling/lrkFM/issues/26,DEV,3,1,6
1566,https://github.com/lfuelling/lrkFM/issues/29,DEV,7,1,10
1567,https://github.com/lfuelling/lrkFM/issues/34,DEV,3,2,10
1568,https://github.com/lfuelling/lrkFM/issues/44,DEV,4,2,8
1640,https://github.com/TheMHMoritz3/Trainer-App/issues/1,DEV,4,0,3
1641,https://github.com/TheMHMoritz3/Trainer-App/issues/25,DEV,3,1,10
1645,https://github.com/TheMHMoritz3/Trainer-App/issues/7,DEV,6,3,8
,,,,200,1956
